t,aerospike,bell
7.25,2158.131287,2065.726834
7.26,2164.107835,2071.451646
7.27,2170.092619,2077.18435
7.28,2176.08564,2082.924947
7.29,2182.086897,2088.673438
7.3,2188.096391,2094.429821
7.31,2194.114121,2100.194097
7.32,2200.140089,2105.966267
7.33,2206.174294,2111.746329
7.34,2212.216736,2117.534286
7.35,2218.267416,2123.330135
7.36,2224.326334,2129.133878
7.37,2230.39349,2134.945515
7.38,2236.468884,2140.765045
7.39,2242.552517,2146.59247
7.4,2248.644388,2152.427788
7.41,2254.744498,2158.271
7.42,2260.852847,2164.122107
7.43,2266.969436,2169.981108
7.44,2273.094264,2175.848003
7.45,2279.227331,2181.722793
7.46,2285.368639,2187.605477
7.47,2291.518188,2193.496057
7.48,2297.675976,2199.394531
7.49,2303.842006,2205.300901
7.5,2310.016277,2211.215166
7.51,2316.198788,2217.137326
7.52,2322.389542,2223.067382
7.53,2328.588537,2229.005334
7.54,2334.795775,2234.951182
7.55,2341.011255,2240.904926
7.56,2347.234978,2246.866566
7.57,2353.466943,2252.836103
7.58,2359.707152,2258.813536
7.59,2365.955605,2264.798867
7.6,2372.212302,2270.792094
7.61,2378.477243,2276.793219
7.62,2384.750428,2282.802241
7.63,2391.031859,2288.81916
7.64,2397.321535,2294.843978
7.65,2403.619458,2300.876693
7.66,2409.925626,2306.917307
7.67,2416.240042,2312.96582
7.68,2422.562704,2319.022231
7.69,2428.893615,2325.086541
7.7,2435.232773,2331.158751
7.71,2441.580181,2337.23886
7.72,2447.935837,2343.326868
7.73,2454.299742,2349.422777
7.74,2460.671897,2355.526585
7.75,2467.052302,2361.638294
7.76,2473.440958,2367.757904
7.77,2479.837864,2373.885415
7.78,2486.243021,2380.020827
7.79,2492.656429,2386.164141
7.8,2499.07809,2392.315356
7.81,2505.508003,2398.474474
7.82,2511.946168,2404.641494
7.83,2518.392586,2410.816416
7.84,2524.847258,2416.999242
7.85,2531.310183,2423.189971
7.86,2537.781363,2429.388603
7.87,2544.260797,2435.595139
7.88,2550.748486,2441.80958
7.89,2557.244431,2448.031925
7.9,2563.748631,2454.262174
7.91,2570.261088,2460.500329
7.92,2576.781802,2466.74639
7.93,2583.310773,2473.000356
7.94,2589.848002,2479.262229
7.95,2596.393488,2485.532009
7.96,2602.947234,2491.809696
7.97,2609.509238,2498.095291
7.98,2616.079502,2504.388793
7.99,2622.658026,2510.690205
8,2629.24481,2516.999525
8.01,2635.839856,2523.316755
8.02,2642.443162,2529.641895
8.03,2649.054731,2535.974946
8.04,2655.674563,2542.315907
8.05,2662.302657,2548.664779
8.06,2668.939015,2555.021563
8.07,2675.583637,2561.386259
8.08,2682.236524,2567.758867
8.09,2688.897676,2574.139388
8.1,2695.567093,2580.527822
8.11,2702.244777,2586.924169
8.12,2708.930728,2593.32843
8.13,2715.624946,2599.740605
8.14,2722.327432,2606.160695
8.15,2729.038186,2612.5887
8.16,2735.757209,2619.02462
8.17,2742.484503,2625.468457
8.18,2749.220066,2631.920209
8.19,2755.9639,2638.379878
8.2,2762.716006,2644.847465
8.21,2769.476384,2651.322969
8.22,2776.245034,2657.806391
8.23,2783.021958,2664.297732
8.24,2789.807156,2670.796992
8.25,2796.600629,2677.304171
8.26,2803.402376,2683.81927
8.27,2810.2124,2690.342289
8.28,2817.0307,2696.87323
8.29,2823.857277,2703.412091
8.3,2830.692133,2709.958875
8.31,2837.535267,2716.513581
8.32,2844.38668,2723.07621
8.33,2851.246373,2729.646762
8.34,2858.114346,2736.225238
8.35,2864.990601,2742.811638
8.36,2871.875138,2749.405963
8.37,2878.767958,2756.008214
8.38,2885.669061,2762.61839
8.39,2892.578448,2769.236493
8.4,2899.496121,2775.862523
